name,AGATC,TTTTTTCT,AATG,TCTAG,GATA,TATC,GAAA,TCTG
Anahita,21,49,55,8,37,64,36,40
Adrien,31,21,41,28,30,9,36,44
Celeste,16,13,25,31,35,47,67,53
Colin,47,40,34,11,24,31,60,26
Devam,39,47,25,27,25,61,44,47
Gabriela,25,38,45,49,39,18,42,30
Hania,50,49,57,37,35,24,48,56
Jason,52,31,36,27,45,67,48,61
Jose,46,41,38,29,15,5,48,22
Juli,7,11,18,33,39,31,23,14
Kaito,28,33,69,18,46,36,67,60
Lauren,46,47,71,19,53,65,72,72
Lisa,9,13,33,26,45,11,36,39
Maya,20,24,57,17,36,35,30,45
Mira,17,49,18,7,6,18,17,30
Nicolas,14,44,28,27,19,7,25,20
Pepper,29,29,40,31,45,20,40,35
Qiana,6,18,5,42,39,28,44,22
Rowan,42,48,38,33,45,25,36,53
Sherice,32,27,40,41,25,52,21,47
Tyler,39,11,41,33,57,37,53,31
Wei,26,45,34,50,44,30,32,28
Zabdi,29,50,18,23,38,24,22,9
